,0
0,10119.0
1,4884.0
2,15467.5
3,7023.190476190476
4,3773.8214285714284
5,13572.869565217392
6,12609.0625
7,8422.666666666666
8,4316.4
9,18561.0
10,13033.818181818182
11,7023.190476190476
12,7023.190476190476
13,8118.642857142857
14,18952.809523809523
15,12345.81081081081
16,7023.190476190476
17,7023.190476190476
18,13572.869565217392
19,15781.666666666666
20,13105.947368421053
21,15467.5
22,12345.81081081081
23,12266.87037037037
24,5597.037037037037
25,12984.030303030304
26,3657.4565217391305
27,13547.424242424242
28,13572.869565217392
29,11094.75
30,10115.105263157895
31,17118.529411764706
32,13115.25
33,7700.6875
34,6194.0
35,3795.8846153846152
36,6194.0
37,13165.266666666666
38,13547.424242424242
39,7023.190476190476
40,3795.8846153846152
41,17118.529411764706
42,1979.8260869565217
43,14069.5
44,8422.666666666666
45,3659.4827586206898
46,18952.809523809523
47,4665.090909090909
48,18952.809523809523
49,11094.75
50,7579.541666666667
51,18952.809523809523
52,13033.818181818182
53,10106.0
54,2050.7619047619046
55,6102.678571428572
56,7023.190476190476
57,12345.81081081081
58,7023.190476190476
59,7023.190476190476
60,7023.190476190476
61,7579.541666666667
62,8422.666666666666
63,7023.190476190476
64,11983.0
65,3657.4565217391305
66,7023.190476190476
67,7023.190476190476
68,7556.461538461538
69,12345.81081081081
70,2982.4545454545455
71,13547.424242424242
72,15601.1
73,7023.190476190476
74,2982.4545454545455
75,6162.5
76,3895.7619047619046
77,10352.206896551725
78,8206.1
79,15467.5
80,4001.2
81,7023.190476190476
82,7023.190476190476
83,4610.7
84,17118.529411764706
85,17118.529411764706
86,2050.7619047619046
87,13572.869565217392
88,3959.604938271605
89,13547.424242424242
90,15467.5
91,15467.5
92,7023.190476190476
93,12968.103448275862
94,3228.0625
95,2982.4545454545455
96,13572.869565217392
97,7023.190476190476
98,2050.7619047619046
99,8324.8125
100,4609.625
101,7023.190476190476
102,17118.529411764706
103,7023.190476190476
104,3959.604938271605
105,13069.235294117647
106,4412.941176470588
107,26632.5
108,7042.806451612903
109,7023.190476190476
110,7023.190476190476
111,17118.529411764706
112,3795.8846153846152
113,4457.323529411765
114,7023.190476190476
115,8324.8125
116,12984.030303030304
117,17118.529411764706
118,11440.206896551725
119,7023.190476190476
120,8324.8125
121,15781.666666666666
122,3657.4565217391305
123,6567.5625
124,7023.190476190476
125,13547.424242424242
126,3657.4565217391305
127,10115.105263157895
128,7023.190476190476
129,9588.35294117647
130,12345.81081081081
131,7023.190476190476
132,7023.190476190476
133,3657.4565217391305
134,10115.105263157895
135,18561.0
136,10567.588235294117
137,3895.7619047619046
138,3659.4827586206898
139,5628.0
140,10115.105263157895
141,12032.617647058823
142,15467.5
143,18561.0
144,5643.966666666666
145,10960.67857142857
146,7556.461538461538
147,5597.037037037037
148,10119.0
149,10960.67857142857
150,18561.0
151,11094.75
152,7023.190476190476
153,5373.333333333333
154,10115.105263157895
155,7556.461538461538
156,4316.4
157,3657.4565217391305
158,15467.5
159,6518.5
160,6162.5
161,7023.190476190476
162,5643.966666666666
163,3795.8846153846152
164,3895.7619047619046
165,5597.037037037037
166,6723.666666666667
167,3959.604938271605
168,8422.666666666666
169,4755.916666666667
170,12078.727272727272
171,13804.53125
172,10115.105263157895
173,4316.4
174,7579.541666666667
175,10115.105263157895
176,7023.190476190476
177,8324.8125
178,13105.947368421053
179,15467.5
180,12609.0625
181,10115.105263157895
182,3795.8846153846152
183,12345.81081081081
184,7023.190476190476
185,8422.666666666666
186,13572.869565217392
187,26524.0
188,7023.190476190476
189,3795.8846153846152
190,7023.190476190476
191,7023.190476190476
192,2050.7619047619046
193,7023.190476190476
194,8324.8125
195,3959.673469387755
196,7579.541666666667
197,12881.666666666666
198,6567.5625
199,12968.103448275862
200,15467.5
201,18952.809523809523
202,12609.0625
203,2050.7619047619046
204,7023.190476190476
205,3795.8846153846152
206,11440.206896551725
207,10263.0
208,15176.625
209,7023.190476190476
210,5702.0
211,7579.541666666667
212,10119.0
213,7023.190476190476
214,10562.70588235294
215,22447.25
216,18561.0
217,7579.541666666667
218,17374.727272727272
219,12032.617647058823
220,4992.0
221,17118.529411764706
222,17118.529411764706
223,4668.025974025974
224,3959.604938271605
225,7579.541666666667
226,4316.4
227,10115.105263157895
228,7023.190476190476
229,15467.5
230,10567.588235294117
231,13547.424242424242
232,4484.529411764706
233,18952.809523809523
234,5643.966666666666
235,7023.190476190476
236,8830.869565217392
237,5278.0
238,7023.190476190476
239,5628.0
240,13547.424242424242
241,11094.75
242,8324.8125
243,5643.966666666666
244,14354.652173913044
245,13718.4
246,8324.8125
247,3959.604938271605
248,7023.190476190476
249,17118.529411764706
250,15303.451612903225
251,10240.067415730337
252,8104.727272727273
253,4609.625
254,7023.190476190476
255,10313.37037037037
256,7023.190476190476
257,4457.323529411765
258,10263.0
259,4884.0
260,9579.272727272728
261,2774.269230769231
262,5643.966666666666
263,12345.81081081081
264,6567.5625
265,10115.105263157895
266,12546.39393939394
267,7556.461538461538
268,18561.0
269,7023.190476190476
270,18561.0
271,7579.541666666667
272,3895.7619047619046
273,7023.190476190476
274,8422.666666666666
275,10115.105263157895
276,13105.947368421053
277,15467.5
278,18561.0
279,10115.105263157895
280,7023.190476190476
281,18952.809523809523
282,12968.103448275862
283,7023.190476190476
284,9579.272727272728
285,3959.604938271605
286,6485.064516129032
287,10960.67857142857
288,8422.666666666666
289,7023.190476190476
290,15781.666666666666
291,9579.272727272728
292,12078.727272727272
293,8422.666666666666
294,7023.190476190476
295,18561.0
296,9579.272727272728
297,18952.809523809523
298,7579.541666666667
299,7023.190476190476
300,3895.7619047619046
301,2050.7619047619046
302,17118.529411764706
303,7740.866666666667
304,17118.529411764706
305,12409.105263157895
306,3381.4444444444443
307,11094.75
308,4884.0
309,4316.4
310,10240.067415730337
311,9579.272727272728
312,22447.25
313,4665.090909090909
314,7579.541666666667
315,8422.666666666666
316,10119.0
317,13572.869565217392
318,5702.0
319,13083.75
320,6162.5
321,5628.0
322,13572.869565217392
323,8324.8125
324,4668.025974025974
325,13572.869565217392
326,7023.190476190476
327,7023.190476190476
328,7579.541666666667
329,10115.105263157895
330,5597.037037037037
331,2050.7619047619046
332,4356.892857142857
333,8422.666666666666
334,6102.678571428572
335,7023.190476190476
336,15467.5
337,6118.602739726028
338,8324.8125
339,5643.966666666666
340,7579.541666666667
341,13572.869565217392
342,3592.5
343,7579.541666666667
344,4316.4
345,13547.424242424242
346,5332.107142857143
347,15467.5
348,16511.0
349,13718.4
350,7023.190476190476
351,7023.190476190476
352,17118.529411764706
353,13547.424242424242
354,7023.190476190476
355,18952.809523809523
356,15781.666666666666
357,7023.190476190476
358,10240.067415730337
359,3657.4565217391305
360,4884.0
361,10115.105263157895
362,7023.190476190476
363,7023.190476190476
364,11094.75
365,5027.8
366,12609.0625
367,6102.678571428572
368,9227.379310344828
369,5643.966666666666
370,9263.823529411764
371,3795.8846153846152
372,10115.105263157895
373,11440.206896551725
374,18952.809523809523
375,7023.190476190476
376,13547.424242424242
377,7023.190476190476
378,7023.190476190476
379,18952.809523809523
380,12345.81081081081
381,26524.0
382,4316.4
383,7023.190476190476
384,7023.190476190476
385,3013.0
386,3795.8846153846152
387,7303.32
388,12984.030303030304
389,10263.0
390,7023.190476190476
391,4001.2
392,3959.604938271605
393,11433.6
394,7023.190476190476
395,7023.190476190476
396,5355.4
397,18952.809523809523
398,3657.4565217391305
399,15467.5
400,4333.038461538462
401,13572.869565217392
402,4333.038461538462
403,7023.190476190476
404,10263.0
405,3657.4565217391305
406,7023.190476190476
407,26524.0
408,15467.5
409,7023.190476190476
410,10115.105263157895
411,15467.5
412,10263.0
413,11699.098901098901
414,3895.7619047619046
